Type,Base,Name,Category,Pos_trigger,Pos_trigger_select,Neg_trigger,Neg_trigger_select,Weight_from,Weight_to,Clip_skip,CFG,Steps,Sampler,Scheduler,HiRes_fix,Special,Tags,Location,Excluded,Link
Lora,SD 1.5,more_details.safetensors,detail,,,,,0,1,,,,,,,,,,,https://civitai.com/models/82098/add-more-details-detail-enhancer-tweaker-lora
Lora,SD 1.5,nier_anime_style_offset.safetensors,style,nier anime style,all,,,1,1,,,,,,,,,,,https://civitai.com/models/61240/nier-automata-anime-style-lora
Lora,SD 1.5,pixel_f2.safetensors,style,pixel,all,,,0.8,1,,,,,,,,,,Y,https://civitai.com/models/44960/mpixel
Lora,SD 1.5,add_detail.safetensors,detail,,,,,0.8,1,,,,,,,,,,,https://civitai.com/models/58390/detail-tweaker-lora-lora
Lora,SD 1.5,tifa_v2.3.safetensors,character,"tifa lockhart, red_eyes, black hair, long hair",all,,,0.8,1,,,,,,,,"NSFW, character",,,https://civitai.com/models/11367/tifameenow
Lora,SD 1.5,WaterColoursScenev1.0.safetensors,style,"shuicai,scene",all,,,0.5,0.75,,,,,,,,,,Y,https://civitai.green/models/44480/watercolorsscenev1?modelVersionId=49107
Lora,SD 1.5,XSarchitectural-38InteriorForBedroom.safetensors,style,,,,,0.8,1,,,,,,,,"realistic, architecture",,Y,https://civitai.com/models/45262/xsarchitectural-38interiorforbedroom
Lora,SDXL 1.0,2b_nier_automata.safetensors,character,"<lora:2b_nier_automataXL:1>,2B,Nier AUTOMATA",all,,,0.8,1,,,,,,,,"NSFW, SFW, character",,,https://civitai.com/models/237264/2b-nier-automataxl
Lora,SDXL 1.0,aesthetic_anime_v1s.safetensors,style,<lora:aesthetic_anime_v1s>,all,,,0.8,1,,,,,,,,,,,https://civitai.com/models/295100/aesthetic-anime-lora
Lora,SDXL 1.0,Classic Western Dragons XL.safetensors,object,"dragon,classic dragon,exotic dragon,magma dragon,bone dragon,undead dragon,thunder dragon,forest dragon,golden dragon",1,,,0.8,1,,,,,,,,,,,https://civitai.com/models/153332/western-dragon-collection-xl-classic-style
Lora,SDXL 1.0,detailed_notrigger.safetensors,detail,,,,,-1,1,,,,,,,,,,,https://civitai.com/models/229213/extremely-detailed-no-trigger-slidersntcaixyz
Lora,SDXL 1.0,f1ngering-000036.safetensors,pose,"f1ngering, fingering,female masturbation,fingers,hand",all,,,0.9,1,-2,,,,,,,"NSFW, character",,,https://civitai.com/models/497840/fingeringfemale-masturbation-or-animagine-v31
Lora,SDXL 1.0,oil painting.safetensors,style,"oil painting,bichu",all,,,0.5,1,,,,,,,,,,,https://civitai.com/models/118223?modelVersionId=128212
Lora,SDXL 1.0,texta.safetensors,text,"logo, text, sign that says {the word}",all,,,0.8,1,,,,,,,,,,,https://civitai.com/models/221240/texta-generate-text-with-sdxl
Lora,SD 1.5,Drawing.safetensors,style,"drawing,style by NTY",,,,,,,,,,,,,,,,https://civitai.com/models/110244/drawing
Lora,SD 1.5,"AMechaSSS[color_theme,mecha musume, mechanical parts,robot joints,headgear].safetensors",outfit,"mecha musume, mechanical parts, robot joints, headgear, mechanical arms",random,,,1,1.5,,,,,,,,"character, anime, mecha",,,https://civitai.com/models/15464/a-mecha-musume-a?modelVersionId=97207
Lora,SD 1.5,see-through leotard-000004.safetensors,outfit,see-through leotard,1,,,,,,,,,,,,"NSFW, character, clothing",,,https://civitai.com/models/22256/clothes-see-through-leotard
Embedding,SD 1.5,ng_deepnegative_v1_75t.pt,,,,NG_DeepNegative_V1_75T,1,,,,,,,,,,,,,https://civitai.com/models/4629/deep-negative-v1x
Embedding,SD 1.5,badhandv4.pt,,,,badhandv4,1,,,,,,,,,,,,,https://civitai.com/models/16993/badhandv4?modelVersionId=20068
Embedding,SDXL 1.0,DeepNegative_xl_v1.safetensors,,,,DeepNegative_xl_v1,1,,,,,,,,,,,,,https://civitai.com/models/407448
Embedding,Pony,deep_negative_pony.safetensors,,,,deep_negative_pony,1,,,,,,,,,,,,,https://civitai.com/models/831971/deep-negative-pony
Embedding,SD 1.5,easynegative.safetensors,,,,easynegative,1,,,,,,,,,,,,,https://civitai.com/models/7808?modelVersionId=9208
Embedding,SD 1.5,an14.pt,,,,an14,1,,,,,,,,,,,,,https://civitai.com/models/58726/asyncs-negative?modelVersionId=345593
Checkpoint,Illustrious,mistoonAnime_v10Illustrious.safetensors,,,,,,,,,,,euler_ancestral,sgm_uniform,,,"NSFW, SFW, anime, character",,,https://civitai.com/models/24149?modelVersionId=1151831
Checkpoint,Illustrious,prefectiousXLNSFW_v10.safetensors,,,,,,,,,"5,6",,"dpmpp_2m, euler_ancestral",,,,"NSFW, SFW, anime, character",,,https://civitai.com/models/992378/prefectious-xl-nsfw
Checkpoint,Illustrious,waiNSFWIllustrious_v80.safetensors,,,,,,,,,"5,6,7",30,euler_ancestral,,,,"NSFW, SFW",,,https://civitai.com/models/827184/wai-nsfw-illustrious-sdxl
Checkpoint,Pony,duchaitenPonyXLNo_v70.safetensors,,"Arcane,ttguweiz,carmesjocelin,fiz-rot,anninosj,samdoesarts,elliemaplefox,sei5osuzuki,BM94199,yaoyao794,sea_Pall,Vergilhoo,hamukukka,omao_51061954,letsfinalanswer,106858,sungmoomoo,hakwansoo36,wonbin_lee,hex_jjung,Ghibli,niji3d,Hoovesart,cutesexyrobutts,afrobull,unfairr,Khyle,shexyo,Sinozick,ironlilyart,mossacannibalis,gabrielpicolo,Rossdraws,Kuvshinov_Ilya,RDJlock,wlopwangling,beitemian,strauzek,RyanReos,hdfurrybabes,Apone3D,wildeerstudio,AkiyamaRyo,fugtrup,crazytown,748cm,ArawAraw,stevencarson,rescraft,aromasensei,ponyvid,ponycos,ghost236,7200ss,lizchiefffff",1,,,,,,,,,,,,,,,https://civitai.com/models/376450/duchaiten-pony-xl-no-score
Checkpoint,Pony,meichidarkmixReload_meichidarkanimv2Lust.safetensors,,,,,,,,,,20-40,euler_ancestral,Karras,,,"NSFW, SFW",,,https://civitai.com/models/643227?modelVersionId=770375
Checkpoint,Pony,ponyDiffusionV6XL_v6StartWithThisOne.safetensors,,,,,,,,,,,,,,,,,,https://civitai.com/models/257749?modelVersionId=290640
Checkpoint,SD 1.5,abyssorangemix2NSFW_abyssorangemix2Nsfw.safetensors,,,,,,,,,,,,,,,"NSFW, SFW",,,https://civitai.com/models/4449/abyssorangemix2-nsfw
Checkpoint,SD 1.5,cetusMix_Coda2.safetensors,,,,,,,,,,,,,,,,,,https://civitai.com/models/6755?modelVersionId=48569
Checkpoint,SD 1.5,cetusMix_Codaedition.safetensors,,,,,,,,,,,,,,,,,,https://civitai.com/models/6755?modelVersionId=20229
Checkpoint,SD 1.5,cetusMix_Whalefall2.safetensors,,,,,,,,-2,"4,5,6,7,8",20+,dpmpp_2m,Karras,Y,,,,,https://civitai.com/models/6755/cetus-mix
Checkpoint,SD 1.5,dreamshaper_8.safetensors,,,,,,,,,,,,,,,,,,https://civitai.com/models/4384?modelVersionId=128713
Checkpoint,SD 1.5,dreamshaperPixelart_v10.safetensors,,"pixel art,
pixel art style",all,,,,,,,,,,,,,,Y,https://civitai.com/models/129879/dreamshaper-pixelart
Checkpoint,SD 1.5,fortyfourOilpainting_v10.safetensors,,oilpainting,all,,,0.9,1.5,,"2,3,7,11",,,,,,,,,https://civitai.com/models/93262/fortyfouroilpaintingv1
Checkpoint,SD 1.5,lbcSimple_v20.safetensors,,,,,,,,,,,,,,,,,,https://civitai.com/models/181285?modelVersionId=299118
Checkpoint,SD 1.5,majicmixRealistic_v7.safetensors,,,,,,,,,,20-40,euler_ancestral,,Y,,,,,https://civitai.com/models/43331/majicmix-realistic
Checkpoint,SD 1.5,meinamix_meinaV9.safetensors,,,,,,,,,,,,,,,,,,https://civitai.com/models/7240?modelVersionId=46137
Checkpoint,SD 1.5,meinamix_v12Final.safetensors,,,,,,,,,,,,,,,,,,https://civitai.com/models/7240?modelVersionId=948574
Checkpoint,SD 1.5,meinaunreal_v4.safetensors,,,,,,,,-2,7,,dpmpp_2m,Karras,Y,,,,,https://civitai.com/models/18798?modelVersionId=111415
Checkpoint,SD 1.5,meinaunreal_v5.safetensors,,,,,,,,-2,7,,dpmpp_2m,Karras,Y,,,,,https://civitai.com/models/18798?modelVersionId=589833
Checkpoint,SD 1.5,perfectWorld_v6Baked.safetensors,,,,,,,,-2,,,,,,,,External,,https://civitai.com/models/8281/perfect-world?modelVersionId=179446
Checkpoint,SD 1.5,photon_v1.safetensors,,,,,,,,,6,20,dpmpp_2m,Karras,,,"Realistic, NSFW",,,https://civitai.com/models/84728?modelVersionId=90072
Checkpoint,SD 1.5,revAnimated_v2Rebirth.safetensors,,"((best quality)), ((masterpiece)), (detailed)",all,,,,,,,,,,,,"fantasy, anime, semi-realistic, landscape",,,https://civitai.com/models/7371?modelVersionId=425083
Checkpoint,SD 1.5,xsarchitectural_v11.ckpt,,,,,,,,,,,,,,,"realistic, architecture",,Y,https://civitai.com/models/28112?modelVersionId=50722
Checkpoint,SD 1.5 Hyper,realisticVisionV60B1_v51HyperVAE.safetensors,,,,,,,,,2,6,dpmpp_sde,Karras,,,,,,https://civitai.com/models/4201/realistic-vision-v60-b1
Checkpoint,SDXL 1.0,animagineXLV31_v31.safetensors,,,,,,,,,,,,,,,,,,https://civitai.com/models/260267?modelVersionId=403131
Checkpoint,SDXL 1.0,dreamshaperXL_v21TurboDPMSDE.safetensors,,,,,,,,,2,"4,6,8",dpmpp_sde,Karras,,,,,,https://civitai.com/models/112902?modelVersionId=351306
Checkpoint,SDXL 1.0,ghostxl_v10BakedVAE.safetensors,,"realistic anime art style, realistic art style",all,,,,,,,,,,,,,,,https://civitai.com/models/312431/ghostxl
Checkpoint,SDXL 1.0,photonium_v10.safetensors,,,,,,,,,,,,,,,,,,https://civitai.com/models/268578/photonium
Checkpoint,SDXL 1.0,sdXL_v10VAEFix.safetensors,,,,,,,,,,,,,,,,,,https://civitai.com/models/101055?modelVersionId=128078
Checkpoint,SDXL 1.0,sdxlNijiSeven_sdxlNijiSeven.safetensors,,,,,,,,-3,"3,4,5,6",26,dpmpp_sde,Karras,,,,,,https://civitai.com/models/120765/sdxlnijiseven
Checkpoint,v17,realcartoon3d_v17.safetensors,,,,,,,,-2,,,dpmpp_2m,Karras,,,"Cartoon, NSFW",,,https://civitai.com/models/94809?modelVersionId=637156
Checkpoint,SD 1.5,artErosAerosATribute_aerosNovae.safetensors,,"elden ring style,modelshoot style,dreamlikeart,postapocalypse,analog style,knollingcase,swpunk,synthwave,cyborgdiffusion",1,,,,,,,,,,,,"NSFW, SFW, character, realistic",,,https://civitai.com/models/3950/art-and-eros-aeros-a-tribute-to-beauty?modelVersionId=5180
Checkpoint,SD 1.5,wildlifexAnimals_wildlifexAnimals.safetensors,,,,,,,,-1,"3,5,7",20+,dpmpp_2m,Karras,,,"animal, realistic",,,https://civitai.com/models/262239/wildlifex-animals?modelVersionId=295773
Checkpoint,SD 1.5,primemix_v21.safetensors,,,,,,,,,,,,,,,"NSFW, SFW, character, anime",,,https://civitai.com/models/28779/primemix?modelVersionId=67388
Checkpoint,SD 1.5,astranime_V6.safetensors,,,,,,,,-2,,,dpmpp_2m,Karras,Y,,"NSFW, SFW, character, anime",,,https://civitai.com/models/248011?modelVersionId=334482
Checkpoint,SDXL 1.0,XLGufengxl_gufengxl10.safetensors,,"traditional chinese ink painting, black and white ink painting, willow branches, willow tree in background",,"(((simple background))),monochrome ,lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, lowres, bad anatomy, bad hands, text, error, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, ugly,pregnant,vore,duplicate,morbid,mut ilated,tran nsexual, hermaphrodite,long neck,mutated hands,poorly drawn hands,poorly drawn face,mutation,deformed,blurry,bad anatomy,bad proportions,malformed limbs,extra limbs,cloned face,disfigured,gross proportions, (((missing arms))),(((missing legs))), (((extra arms))),(((extra legs))),pubic hair, plump,bad legs,error legs,username,blurry,bad feet",all,,,,,,,,,,,,,https://civitai.com/models/189523/xl-gufengxl
Lora,SD 1.5,howlbgsv3.safetensors,style,<howlbgsv3:1>,1,,,,,,,,,,,,,,,https://civitai.com/models/14605/howls-moving-castle-interior-scenery-lora-ghibli-style-v3
Lora,SD 1.5,mo.safetensors,style,ink splash,1,,,,,,"3,4,6",,,,,,,,,https://civitai.com/models/63347/ink-splash
Lora,SD 1.5,LAS.safetensors,style,"cloud,colorful,starry,stars",random,,,0.6,0.8,,,,,,Y,,,,,https://civitai.com/models/17824/sun-and-shadow
Lora,SD 1.5,contrast_slider_v10.safetensors,crispness,,,,,-5,5,,,,,,,,,,,https://civitai.com/models/155496/contrast-control-sd15
Lora,SD 1.5,add_sharpness.safetensors,crispness,,,,,-2,2,,,,,,,,,,,https://civitai.com/models/69267/sharpness-tweaker-lora-lora
Checkpoint,SD 1.5,leosamsFilmgirlUltra_ultraBaseModel.safetensors,,,,,,,,-1,9,,,,,,,,,https://civitai.com/models/33208/leosams-filmgirl-ultra
Checkpoint,SD 1.5,ghostmix_v20Bakedvae.safetensors,,,,,,,,,,,,,,,,,,https://civitai.com/models/36520/ghostmix
Checkpoint,SD 1.5,3Guofeng3_v34.safetensors,,,,,,,,,"30,50",,dpmpp_sde,Karras,,,NEEDS VAE!!!!!,,,https://civitai.com/models/10415/3-guofeng3
Lora,SD 1.5,MoXinV1.safetensors,style,"shuimobysim,wuchangshuo,bonian,zhenbanqiao,badashanren",all,,,,,,,,,,,,,,,https://civitai.com/models/12597/moxin
Lora,SD 1.5,Niji V2B.safetensors,style,"Realistic anime style, , Niji Stan Katayama style",1,,,,,,,,,,,,,,,https://civitai.com/models/871757/niji-anime
Lora,Pony,Pony_DetailV1.0.safetensors,detail,,,,,1,1,-2,,,,,,,,,,https://civitai.com/models/383086?modelVersionId=427569
Lora,SD 1.5,genshinfull1-000006.safetensors,character,"kukishinobudef,luminedef,doridef,fischldef,keqingdef,lisadef,raidenshogundef,yaemikodef,kujousaradef,beidoudef,dionadef,ganyudef,kamisatoayakadef,shenhedef,euladef,rosariadef,qiqidef,layladef,niloudef,kokomidef,yelandef,monadef,barbaradef,candacedef,colleidef,yaoyaodef,nahidadef,faruzandef,jeanfavonian,sucrosedef,sayudef,xianglingdef,dehyadef,yoimiyadef,kleedef,hutaodef,xinyandef,amber5star,yanfeidef,noelledef,yunjindef,ningguangdef",1,,,,,,,,,,,,,,,https://civitai.com/models/108649/genshin-impact-all-in-one-or-character-lora-43336
Lora,SDXL 1.0,glowneon_xl_v1.safetensors,style,"glowneon,glowing,sparks,lightning",all,,,,,,,,,,,,,,,https://civitai.com/models/310235/glowneon-xl-lora
Lora,SD 1.5,zyd232_InkStyle_v1_0.safetensors,style,"	
zydink,monochrome,ink sketch",,,,0.8,1.2,,,,,,,,,,,https://civitai.com/models/73305?modelVersionId=78018
Lora,SDXL 1.0,LineAniRedmondV2-Lineart-LineAniAF.safetensors,style,"lineart,LineAniAF",all,,,,,,,,,,,,,,,https://civitai.com/models/127018?modelVersionId=177544
